workerId,failed_catch_trial,problem_with_audio,category,filename
A108C88FDYFHTA,0,0,coin,coin_04.mp3
A108C88FDYFHTA,0,0,cork,cork_04.mp3
A108C88FDYFHTA,0,0,glass,glass_02.mp3
A108C88FDYFHTA,0,0,horn,horn_06.mp3
A108C88FDYFHTA,0,0,ring,ring_03.mp3
A108C88FDYFHTA,0,0,tear,tear_01.mp3
A108C88FDYFHTA,0,0,water,water_05.mp3
A108C88FDYFHTA,0,0,zipper,zipper_04.mp3
A10H1H4FU0S098,0,0,coin,coin_04.mp3
A10H1H4FU0S098,0,0,cork,cork_04.mp3
A10H1H4FU0S098,0,0,glass,glass_02.mp3
A10H1H4FU0S098,0,0,horn,horn_03.mp3
A10H1H4FU0S098,0,0,ring,ring_05.mp3
A10H1H4FU0S098,0,0,tear,tear_04.mp3
A10H1H4FU0S098,0,0,water,water_06.mp3
A10H1H4FU0S098,0,0,zipper,zipper_04.mp3
A10MH2GE01BXXE,1,1,coin,coin_04.mp3
A10MH2GE01BXXE,1,1,cork,cork_06.mp3
A10MH2GE01BXXE,1,0,glass,glass_01.mp3
A10MH2GE01BXXE,1,0,horn,horn_06.mp3
A10MH2GE01BXXE,1,0,ring,ring_05.mp3
A10MH2GE01BXXE,1,0,tear,tear_01.mp3
A10MH2GE01BXXE,1,0,water,water_05.mp3
A10MH2GE01BXXE,1,0,zipper,zipper_04.mp3
A142ZRU284W9O,1,0,coin,coin_04.mp3
A142ZRU284W9O,1,0,cork,cork_04.mp3
A142ZRU284W9O,1,0,glass,glass_01.mp3
A142ZRU284W9O,1,0,horn,horn_02.mp3
A142ZRU284W9O,1,0,ring,ring_05.mp3
A142ZRU284W9O,1,0,tear,tear_01.mp3
A142ZRU284W9O,1,0,water,water_06.mp3
A142ZRU284W9O,1,0,zipper,zipper_01.mp3
A194HYD53ONJOY,0,0,coin,coin_05.mp3
A194HYD53ONJOY,0,0,cork,cork_04.mp3
A194HYD53ONJOY,0,0,glass,glass_06.mp3
A194HYD53ONJOY,0,0,horn,horn_06.mp3
A194HYD53ONJOY,0,0,ring,ring_03.mp3
A194HYD53ONJOY,0,0,tear,tear_01.mp3
A194HYD53ONJOY,0,0,water,water_05.mp3
A194HYD53ONJOY,0,0,zipper,zipper_01.mp3
A1CHC8M7CWC254,0,0,coin,coin_04.mp3
A1CHC8M7CWC254,0,0,cork,cork_04.mp3
A1CHC8M7CWC254,0,0,glass,glass_01.mp3
A1CHC8M7CWC254,0,0,horn,horn_02.mp3
A1CHC8M7CWC254,0,0,ring,ring_05.mp3
A1CHC8M7CWC254,0,0,tear,tear_01.mp3
