response_id,selection,question_pk,choices,message_id,survey_id,answer,question_id,seed_id,chain_name,question_type,survey_name,num_questions_per_player,survey_type,experiment,subj_id,response_ix,audio,chain_id,parent_id,generation,rejected,verified,start_at,end_at,game_name,imitation_name,first_gen_id,is_correct
1,35,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
29,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
36,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
56,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
57,35,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
71,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
84,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
91,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
103,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
110,35,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
114,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
177,34,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
256,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
304,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
371,35,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
439,35,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
3182,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
3235,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
3255,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
3316,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
3361,35,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
3492,36,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,1
3578,37,7,"[34, 35, 36, 37]",72,1,36,6,36,glass,true_seed,within-category-glass,10,within,,,,words-in-transition/glass/gen-1_F0cAlFW.wav,5.0,36.0,1,False,True,0.0,,words-in-transition,gen-1_F0cAlFW.wav,72,0
