message_id,audio,chain_id,parent_id,generation,rejected,verified,start_at,end_at,game_name,chain_name,message_name,seed_id
56,words-in-transition/glass/gen-1.wav,5,35.0,1,False,True,0.0,,words-in-transition,glass,gen-1.wav,35
93,words-in-transition/glass/gen-1_1E6oSTJ.wav,5,37.0,1,True,True,0.0,,words-in-transition,glass,gen-1_1E6oSTJ.wav,37
69,words-in-transition/glass/gen-1_2C5rNCa.wav,5,34.0,1,True,True,0.0,,words-in-transition,glass,gen-1_2C5rNCa.wav,34
205,words-in-transition/glass/gen-1_6r53JO0.wav,5,36.0,1,True,True,0.0,,words-in-transition,glass,gen-1_6r53JO0.wav,36
108,words-in-transition/glass/gen-1_8ZcnnSC.wav,5,36.0,1,True,True,0.0,,words-in-transition,glass,gen-1_8ZcnnSC.wav,36
101,words-in-transition/glass/gen-1_9gYpt5j.wav,5,34.0,1,False,True,0.0,,words-in-transition,glass,gen-1_9gYpt5j.wav,34
144,words-in-transition/glass/gen-1_AFSuGA1.wav,5,37.0,1,True,True,0.0,,words-in-transition,glass,gen-1_AFSuGA1.wav,37
148,words-in-transition/glass/gen-1_B7IL57V.wav,5,37.0,1,True,True,0.0,,words-in-transition,glass,gen-1_B7IL57V.wav,37
270,words-in-transition/glass/gen-1_BokuKjG.wav,5,36.0,1,True,True,0.0,,words-in-transition,glass,gen-1_BokuKjG.wav,36
123,words-in-transition/glass/gen-1_C7rzCOW.wav,5,34.0,1,True,True,0.0,,words-in-transition,glass,gen-1_C7rzCOW.wav,34
74,words-in-transition/glass/gen-1_Cy7QfQd.wav,5,36.0,1,True,True,0.0,,words-in-transition,glass,gen-1_Cy7QfQd.wav,36
160,words-in-transition/glass/gen-1_DqvBlhJ.wav,5,34.0,1,True,True,0.0,,words-in-transition,glass,gen-1_DqvBlhJ.wav,34
72,words-in-transition/glass/gen-1_F0cAlFW.wav,5,36.0,1,False,True,0.0,,words-in-transition,glass,gen-1_F0cAlFW.wav,36
57,words-in-transition/glass/gen-1_GiOc9kw.wav,5,37.0,1,True,True,0.0,,words-in-transition,glass,gen-1_GiOc9kw.wav,37
281,words-in-transition/glass/gen-1_GvB3kca.wav,5,36.0,1,True,True,0.0,,words-in-transition,glass,gen-1_GvB3kca.wav,36
143,words-in-transition/glass/gen-1_HV1p8aC.wav,5,35.0,1,True,True,0.0,,words-in-transition,glass,gen-1_HV1p8aC.wav,35
277,words-in-transition/glass/gen-1_HtsPsq5.wav,5,36.0,1,False,True,0.0,,words-in-transition,glass,gen-1_HtsPsq5.wav,36
63,words-in-transition/glass/gen-1_K9FsqKG.wav,5,37.0,1,False,True,0.0,,words-in-transition,glass,gen-1_K9FsqKG.wav,37
152,words-in-transition/glass/gen-1_Lu0KiM1.wav,5,37.0,1,True,True,0.0,,words-in-transition,glass,gen-1_Lu0KiM1.wav,37
