ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,workerId,survey,assignmentId,instructions,odd_one_out (1),odd_one_out (2),odd_one_out (3),odd_one_out (4),odd_one_out (5),odd_one_out (6),odd_one_out (7),odd_one_out (8),describe (1),describe (2),describe (3),describe (4),describe (5),describe (6),describe (7),describe (8),problems (1),problems (2),problems (3),problems (4),problems (5),problems (6),problems (7),problems (8),odd_one_out_catch,describe_catch,problems_catch,Unnamed: 40,failed_catch_trial
Default Response Set,Anonymous,,,50.153.21.6,0,2016-02-24 14:32:03,2016-02-24 14:35:12,1,A7KLTVEIASF4J,,,1,3,2,4,4,5,5,6,6,coin dropping,bottle pop,bottle clinking,horn honking,phone ring,paper ripping,water,zipper,,,,,,,,,6.0,ting,,,True
Default Response Set,Anonymous,,,115.77.105.106,0,2016-02-24 14:52:52,2016-02-24 14:56:39,1,A3353NUUEEWCVR,,,1,2,2,4,1,4,1,1,6,coin drop,uncorking,glass clinking,traffic,ringtone,tearing,droplet,zip,,,,1.0,,1.0,,,6.0,radiator creak,,,True
Default Response Set,Anonymous,,,74.211.93.140,0,2016-02-24 14:55:51,2016-02-24 15:00:05,1,A1EMBQB8FM6EZH,,,1,2,5,3,4,4,5,2,6,Coin dropping,I heard a variety of popping sounds,Glasses banging,Car horn,Phone ringing,Removal of tape,Water sound effects,Zipper,,,,,,,,,6.0,Banging metal,,,True
Default Response Set,Anonymous,,,98.214.43.100,0,2016-02-24 14:55:39,2016-02-24 15:00:19,1,A2M3LVBUZLN8MO,,,1,2,2,4,1,4,5,1,6,coin dropping,bottle popping,lid dropping?,horn honking,phone ringing,paper ripping,splashing water,zipping a zipper,,,,,,,,,6.0,hitting something,,,True
Default Response Set,Anonymous,,,67.78.96.95,0,2016-02-24 14:58:32,2016-02-24 15:01:37,1,A3GMH4D3UB5EB1,,,1,3,5,4,4,4,5,1,6,coins,pop,clanking,honk,ringing,tear,water,zip,,,,,,,,,6.0,cymbals,,,True
Default Response Set,Anonymous,,,98.192.138.85,0,2016-02-24 15:00:25,2016-02-24 15:04:52,1,A1RM39ESL1IEJL,,,1,2,2,4,4,4,5,5,2,coins dropping,corks popping,glass jars,car horns,phones ringing,tape,water splashing,zippers,,,,,,,,,6.0,metal,,,True
Default Response Set,Anonymous,,,199.115.143.171,0,2016-02-24 14:54:37,2016-02-24 15:05:12,1,A16WTL2DOIQ5SV,,,1,2,1,3,4,1,1,6,3,dropping coin,opening bottle,object colliding,car horn,phone ring,ripping,water,zipping,,,,,,,,,6.0,gong,,,True
Default Response Set,Anonymous,,,23.117.204.107,0,2016-02-24 15:09:06,2016-02-24 15:14:24,1,A115XKTCED2VE9,,,1,6,5,2,1,3,5,1,6,coins dropping,hitting ball,clinking,honking horn,digital ringing,ripping paper,sloshing water,zipper,,,,,,,,,6.0,plucking string,,,True
Default Response Set,Anonymous,,,173.21.62.176,0,2016-02-24 16:50:21,2016-02-24 16:53:44,1,A248P03SBIGVNH,,,1,3,1,4,4,3,5,2,6,change,pop,clink,horn,ring,rip,pour,zip,,,,,,,,,6.0,cling,,,True
Default Response Set,Anonymous,,,71.187.194.216,0,2016-02-24 16:51:53,2016-02-24 16:58:20,1,A62LZWGKLMBT2,,,1,2,5,1,2,4,6,1,6,coin falling,bottlecap opening,metal banging,vehicle horn,phone ringing,Camera Click,water moving,Zipping,,,,,,,,,6.0,striking metal,,,True
Default Response Set,Anonymous,,,96.253.42.99,0,2016-02-24 16:49:59,2016-02-24 17:02:08,1,APUPF3D94XYUQ,,,1,2,5,4,1,4,5,5,6,falling coin,popping sound,clinking glasses,honking horns,ringtones,ripping paper?,water,zipper,,,,,,,,,6.0,banging?,,,True
